pr_number,lines_added,lines_deleted,comments,review_comments,avg_review_comments,state,merged,accepted
25518,1,0,0,0,0.0,closed,True,True
25517,1,0,0,0,0.0,closed,True,True
25516,1,1,6,0,0.0,closed,True,True
25515,8,0,11,0,0.0,closed,False,False
25514,1,0,0,0,0.0,closed,True,True
25513,1,1,8,0,0.0,closed,True,True
25512,2,0,0,0,0.0,closed,True,True
25511,1,1,0,0,0.0,closed,True,True
25510,1,0,84,0,0.0,closed,False,False
25509,8,0,446,35,35.0,closed,False,False
25508,1,0,1,0,0.0,closed,False,False
25507,2,1,0,0,0.0,closed,True,True
25506,1,0,5,0,0.0,closed,False,False
25505,1,1,0,0,0.0,closed,True,True
25504,1,0,3,0,0.0,closed,True,True
